original,translate
Fire Magic Initiate,Магия огня: Ученик
Fire Magic Expert,Магия огня: Эксперт
Fire Magic Master,Магия огня: Мастер
Fire Magic Grand Master,Магия огня: Гранд-мастер
Light Weapons Initiate,Лёгкое оружие: Ученик
Light Weapons Expert,Лёгкое оружие: Эксперт
Touched by the Reticulum,Отмеченный Ретикулумом
Ranged Weapons Initiate,Дальнобойное оружие: Ученик
#NPC Feats,#NPC Умения
Warrior,Воин
#Rogue Feats,#Умения Плута
Bardic Magic Initiate,Магия барда: Ученик
Bardic Magic Expert,Магия барда: Эксперт
Bardic Magic Master,Магия барда: Мастер
Bardic Spellcasting,Колдовство барда
Backstab Initiate,Удар в спину: Ученик
Backstab Expert,Удар в спину: Эксперт
Backstab Master,Удар в спину: Мастер
Backstab Grand Master,Удар в спину: Гранд-мастер
Bard Initiate,Бард: Ученик
Bard Expert,Бард: Эксперт
Bard Master,Бард: Мастер
Tradecraft,Торговое дело
Duelist Initiate,Дуэлист: Ученик
Duelist Expert,Дуэлист: Эксперт
Duelist Master,Дуэлист: Мастер
Duelist Grand-Master,Дуэлист: Гранд-мастер
Mobility Initiate,Подвижность: Ученик
Mobility Expert,Подвижность: Эксперт
Mobility Master,Подвижность: Мастер
Rogue Blade Initiate,Плут: Ученик клинка
Rogue Blade Expert,Плут: Эксперт клинка
Rogue Ranged Initiate,Плут: Ученик стрельбы
Rogue Ranged Expert,Плут: Эксперт стрельбы
Survivor Initiate,Выживший: Ученик
Survivor Expert,Выживший: Эксперт
Survivor Master,Выживший: Мастер
Thievery Initiate,Воровство: Ученик
Thievery Expert,Воровство: Эксперт
Thievery Master,Воровство: Мастер
#Wanderer Feats,#Умения Странника
Nature Spellcasting,Заклинание природы
You gain the ability to learn spells from the Nature School,Вы получаете способность изучать заклинания из школы природы.
Nature Magic Initiate,Ученик магии природы
You may now cast Tier 1 spells of the Nature School,Теперь вы можете произносить заклинания первого уровня школы природы.
Nature Magic Expert,Эксперт по магии природы
You may now cast Tier 2 spells of the Nature School,Теперь вы можете произносить заклинания второго уровня школы природы.
Nature Magic Master,Магистр магии природы
You may now cast Tier 3 spells of the Nature School,Теперь вы можете произносить заклинания 3-го уровня школы природы.
Nature Magic Grand Master,Великий магистр магии природы
You may now cast Tier 4 spells of the Nature School,Теперь вы можете произносить заклинания уровня 4 школы природы.
#Warrior Feats,#Умения Воина
Archery Initiate,Ученик стрельбы из лука
Archery Expert,Эксперт по стрельбе из лука
Archery Master,Мастер стрельбы из лука
Arms Mastery,Мастерство владения оружием
Axe Initiate,Топор: Ученик
Axe Expert,Топор: Эксперт
Axe Master,Топор: Мастер
Bred for War,Выращенный для войны
Tough as Nails,Крепкий как гвозди
Light Armor Mastery,Мастерство легкой брони
Medium Armor Mastery,Мастерство средней брони
Heavy Armor Mastery,Мастерство тяжелой брони
Calloused Hands,Мозоли на руках
Brutality,Жестокость
Bloodthirsty,Кровожадный
Club Initiate,Дубина: Ученик
Club Expert,Дубина: Эксперт
Club Master,Дубина: Мастер
Leadership Initiate,Лидерство: Ученик
Leadership Expert,Лидерство: Эксперт
Leadership Master,Лидерство: Мастер
Leadership Grand-Master,Лидерство: Гранд-мастер
Ranger Initiate,Рейнджер: Ученик 
Ranger Expert,Рейнджер: Эксперт
Ranger Master,Рейнджер: Мастер
Shield Initiate,Щит: Ученик
Shield Expert,Щит: Эксперт
Shield Master,Щит: Мастер
Sword Initiate,Ученик меча
Sword Expert,Эксперт по мечам
Sword Master,Мастер меча
Two-Handed Initiate,Двуручное: Ученик
Two-Handed Expert,Двуручное: Эксперт
Two-Handed Master,Двуручное: Мастер
