original,translate
Bloodthirsty,피의 갈망
Club Initiate,곤봉 입문
Club Expert,곤봉 숙련
Club Master,곤봉 달인
Leadership Initiate,통솔력 입문
Leadership Expert,통솔력 숙련
Leadership Master,통솔력 달인
Leadership Grand-Master,통솔력 대가
Ranger Initiate,순찰자 입문
Ranger Expert,순찰자 숙련
Ranger Master,순찰자 달인
Shield Initiate,방패 입문
Shield Expert,방패 숙련
Shield Master,방패 달인
Sword Initiate,검술 입문
Sword Expert,검술 숙련
Sword Master,검술 달인
Two-Handed Initiate,양손 무기 입문
Two-Handed Expert,양손 무기 숙련
Two-Handed Master,양손 무기 달인
