"Their colouration seems to shift and swim, and their tips are cruelly barbed","Their colouration seems to shift and swim, and their tips are cruelly barbed",
"They sway, almost hypnotically, before crunching into the ship again","They sway, almost hypnotically, before crunching into the ship again",
"One of the tentacles narrowly misses you, but the impact sends you flying overboard","One of the tentacles narrowly misses you, but the impact sends you flying overboard",
"The impact of the water winds you, the waves pummel you down, the currents beseech you to go deeper","The impact of the water winds you, the waves pummel you down, the currents beseech you to go deeper",
Ever deeper,Ever deeper,
Peaceful blackness,Peaceful blackness,
The Terror of Idra,The Terror of Idra,
"You rest your sword-arm, and survey the carnage","You rest your sword-arm, and survey the carnage",
Then suddenly a loud crash as something collides violently with the hull,"Then suddenly, a loud crash as something collides violently with the hull",
Surviving mercenaries and crewmen alike fight to keep their footing as the ship lurches,Surviving mercenaries and crewmen alike fight to keep their footing as the ship lurches,
"Suddenly, huge, monstrous tentacles burst from the water around the ship","Suddenly, huge, monstrous tentacles burst from the water around the ship",
"For a split-second, before the terror sets in, you wonder what Estavo must be thinking as the monstrosities loom over him","For a split-second, before the terror sets in, you wonder what Estavo must be thinking as the monstrosities loom over him",
"You pace the main deck, as the coast of Idra sails into clear view","You pace the main deck, as the coast of Idra sails into clear view",
"You may have kept the crew alive, but they're still tense and skittish","You may have kept the crew alive, but they're still tense and skittish",
"The ships captain catches your eye, and nods in gratitude","The ship's captain catches your eye, and nods in gratitude",
There is a scream from the crow's nest,There is a scream from the crow's nest,
"Momentarily, you understand why - huge, monstrous tentacles have burst from the water around the ship","You promptly come to understand why - huge, monstrous tentacles have burst from the water around the ship",
You hear the captain cry out in terror as one of them wraps around his leg and plucks him from the deck,The captain cries out in terror as one of them wraps around his leg and plucks him from the deck,
"After reaching their full height, the tentacles curve inwards and smash into the ship","After reaching their full height, the tentacles curve inwards and smash into the ship",
Some pierce straight through the deck - Others snap the masts like they were matchsticks,Some pierce straight through the deck - Others snap the masts like they were matchsticks,
You stand frozen in place,You stand frozen in place,
"Through a haze of splintered wood and panicked screams, you notice Roland","Through a haze of splintered wood and panicked screams, stands Roland in relative equanimity",
"He throws himself out of the way of a tentacle, but begins to fall overboard as the ship lurches once more","As you notice him, a second assault commences and turmoil erupts once more; he throws himself out of the way of a tentacle, but begins to fall overboard as the ship lurches once more",
Go to Roland's aid!,Go to Roland's aid!,
Leave Roland to his fate,Leave Roland to his fate,
"Through a haze of splintered wood and panicked screams, you watch as the tentacles rise for another strike","Through a haze of splintered wood and panicked screams, you watch as the tentacles rise; lingering briefly, preparing to strike",
You notice a few of the mercenaries are rushing towards the lifeboats,"You notice a few of the mercenaries are making a mad rush towards the lifeboats, shoving and trampling over their comrades in hysteria",
Join the mercenaries,Join the mercenaries,
Observe the tentacles,Observe the tentacles,
You reach the lifeboat just as the mercenaries begin lowering it into the sea,You reach the lifeboat just as the mercenaries begin lowering it into the sea,
Estavo brandishes his sword at you,Estavo brandishes his sword at you,
I think not,I think not,
Get in!,Get in!,
Estavo bellows,Estavo bellows,
"If you're ok with doubling our fee, of course","If you're ok with doubling our fee, of course",
You watch as he is swallowed by the raging sea,You look on as he is swallowed by the raging sea,
"The ship is listing fatally - and you see the great tentacles high above you, poised for the coup de grace","The ship is listing fatally - and you see the great tentacles high above you, poised for the coup de grace",
"As you jump, you hear the terrible rending of wood giving in to flesh","As you jump, you hear the terrible rending of wood giving in to flesh",
Roland plummets wordlessly over the ship's rail,Roland plummets wordlessly over the ship's rail,
"Meanwhile, you notice a few of the mercenaries are rushing towards the lifeboats","Meanwhile, you notice a few of the mercenaries are rushing hysterically towards the lifeboats",
Follow the mercenaries,Follow the mercenaries,
...............,...............,
Sink,Sink,
#IntroMutiny,#IntroMutiny,
"The mercenary leader, Estavo, flicks his dark eyes to you, but keeps his blade fixed on the desperate captain","The mercenary leader, Estavo, flicks his dark eyes to you, but keeps his blade fixed on the desperate captain",
There's a reason he's known as 'Fireblood' to his men,There's a reason he's known as 'Fireblood' to his men,
Estavo,Estavo,
You'll get your money but let me handle this,"You'll get your money, but let me handle this",
Estavo - enough of the theatrics,Estavo - enough of the theatrics,
A cruel smile twitches into life on Estavo's wind-weathered face,A cruel smile twitches into life on Estavo's wind-weathered face,
There's only one rich noble girl,There's only one rich noble girl,
But we can always find more sailors,But we can always find more sailors,
The ship's captain bristles at these words,The ship's captain bristles at these words,
"Captain, why have we not dropped anchor?","Captain, why have we not dropped anchor?",
Mutiny,Mutiny,
"You emerge onto the deck, and see two groups of men facing each other with weapons drawn","You emerge onto the deck, and see two groups of men facing each other with weapons drawn",
The ship shakes violently in the grip of a storm as lightning tears across the sky,The ship shakes violently in the grip of a storm as lightning tears across the sky,
There is desperation in the captain's voice,There is desperation in the captain's voice,
We are seasoned sailors - we do not balk at shadows!,We are seasoned sailors - we do not balk at shadows!,
You need to be alive to rescue this girl you speak of!,You need to be alive to rescue this girl you speak of!,
We're out of time,We're out of time,
"Sail us in, or argue the point with Estavo","Sail us in, or argue the point with Estavo",
"You speak sense, Perhaps it is better to turn around?","You speak sense, perhaps it is better to turn around?",
Estavo!,Estavo!,
Have at it!,Have at it!,
A few of the ship's crew lower their weapons,A few of the ship's crew lower their weapons,
"The captain's eyes flit between you, and Estavo's murderous grin","The captain's eyes flit between you, and Estavo's murderous grin",
"He sheathes his blade and speaks softly, his voice barely audible over the snapping sails","He sheaths his blade and speaks softly, his voice barely audible over the snapping sails",
So be it,So be it,
May the deep have mercy,May the deep have mercy,
You gain 300 XP,You gain 300 XP,
Hah!,Hah!,
Theatrics you say?,"Theatrics, you say?",
It is not my men who cower like children!,It is not my men who cower like children!,
For what?,For what?,
Shadows in the water?,Shadows in the water?,
Shadows will not keep me from my pay!,Shadows will not keep me from my pay!,
I refuse to stand by and let you butcher the crew,I refuse to stand by and let you butcher the crew,
Do as you wish,Do as you wish,
Estavo's grin begins to show teeth as he hears your words,Estavo's grin begins to show teeth as he hears your words,
The color drains from the Captain's face,The colour drains from the captain's face,
There is a moment's silence then a crash and a shudder as something strikes the ship's hull,There is a moment's silence then a crash and a shudder as something strikes the ship's hull,
"In the confusion, a mercenary's throwing dagger flies; lodging in a sailor's throat","In the confusion, a mercenary's throwing dagger flies; lodging itself a sailor's throat",
Fight the crew,Fight the crew,
"Estavo lets out a short, hoarse laugh","Estavo lets out a short, hoarse laugh",
"Danger, I don't mind","Danger, I don't mind",
Working for fools - that's how people get killed,Working for fools - that's how people get killed,
"Before you can reply, Estavo whistles, and his men charge at you and the ship's crew!","Before you can reply, Estavo whistles, and his men charge at you and the ship's crew!",
Fend off the mercenaries,Fend off the mercenaries,
"Amidst the din of the storm and their frantic arguments, you bellow for the attention of the assembled crewmen and mercenaries","Amidst the din of the storm and their frantic arguments, you bellow for the attention of the assembled crewmen and mercenaries",
"Both the ship's Captain, and the leader of the mercenaries you hired - a coarse, thug of a man named Estavo - turn their attention to you","Both the ship's Captain, and the leader of the mercenaries you hired - a coarse, thug of a man named Estavo - turn their attention to you",
They look ready to use the unsheathed weapons in their hands at the slightest provocation,They look ready to use the unsheathed weapons in their hands at the slightest provocation,
Address the ship's captain,Address the ship's captain,
Address the mercenary leader,Address the mercenary leader,
You direct your attention to the ship's captain,You direct your attention to the ship's captain,
"You know him to be a reasonable, but suggestible man","You know him to be a reasonable, but suggestible man",
"At present, his usually placid eyes are wild with panic - or anger","At present, his usually placid eyes are wild with panic - or anger",
I paid you for passage to the shore - did I not?,I paid you for passage to the shore - did I not?,
Why have we not dropped anchor?!,Why have we not dropped anchor?!,
"The captain lowers his weapon, and speaks earnestly","The Captain lowers his weapon, and speaks earnestly",
The coast of Idra is cursed!,The coast of Idra is cursed!,
"We'd heard tales, and assumed them grog-drenched rumors only - but there is something between us and the shore that will drag us all to a watery grave!","We'd heard tales, and assumed them grog-drenched rumors only - but there is something between us and the shore that will drag us all to a watery grave!",
What are you talking about?,What are you talking about?,
What have you seen?,What have you seen?,
"We must sail on, to land and the girl","We must sail on, to land and the girl",
Something dire stalks these shores,Something dire stalks these shores,
We cannot approach without risking the ire of that horror,We cannot approach without risking the ire of that horror,
A jittery mutter of agreement rises from the sailors causing Estavo's eyes to darken even further,A jittery mutter of agreement rises from the sailors causing Estavo's eyes to darken even further,
What horror?,What horror?,
Captain!,Captain!,
Take us closer or there will be consequences!,Take us closer or there will be consequences!,
Naught but glimpses,Naught but glimpses,
"My men have seen the shadow of something deep in water, stalking us","My men have seen the shadow of something deep in water, stalking us",
Nothing natural moves like that,Nothing natural moves like that,
Estavo glares murderously at the captain,Estavo glares murderously at the captain,
You renege on our deal based on a glimpse?,You renege on our deal based on a glimpse?,
Foolish superstition!,Foolish superstition!,
Take us in now!,"Take us in, now!",
Do as you wish!,Do as you wish!,
Estavo turns his steely gaze from you to the captain,Estavo turns his steely gaze from you to the Captain,
"Let me spell this out for you, sea-dog - we contracted to rescue the girl","Let me spell this out for you, lemon-eater - we're contracted to rescue the girl",
"But if you don't get us to the shore, we'll gut you for free","But if you don't get us to the shore, we'll gut you, free of charge",
The mercenaries you hired all shift their weight in anticipation of making good on that promise,The mercenaries you hired all shift their weight in anticipation of making good on that promise,
Captain - he's right,Captain - he's right,
Do what you were hired to do!,Do what you were hired to do!,
Convince the man!,Convince the man!,
Something changes in the Captain's expression,Something changes in the Captain's expression,
He stands tall,He stands tall,
I will not order my ship and my men to certain doom!,I will not order my ship and my men to certain doom!,
We shall not get any closer to the coast while I have command,We shall not get any closer to the coast while I have command,
I'm sorry captain,"I'm sorry, Captain",
You leave us no choice,You leave us no choice,
"I defer to your judgement, captain","I defer to your judgement, Captain",
Estavo - stand down,Estavo - stand down,
I believe you - but my contract with these men does not mention your survival,I believe you - but my contract with these men does not mention your survival,
#IntroRats,#IntroRats,
You stop dead as you narrowly avoid stepping in a rust-red puddle,You stop dead as you narrowly avoid stepping in a rust-red puddle,
"The stench of blood fills your nostrils and as you look around in the dim light of the hold, you realize someone, or something fought for their life here","The stench of blood fills your nostrils and as you look around in the dim light of the hold, you realise someone, or something fought for their life here",
