original,translate
Shadow Stalker,Shadow Stalker
Giant Leech,Giant Leech
Albino Leech,Albino Leech
Bloodletter,Bloodletter
Fell Lizard,Fell Lizard
Alpha Lizard,Alpha Lizard
Giant Lizard,Giant Lizard
Ice Salamander,Ice Salamander
Mold Child,Mould Child
Ooze,Ooze
Flesh Ooze,Flesh Ooze
Medusa Jelly,Medusa Jelly
Risen Ooze,Risen Ooze
Magma Ooze,Magma Ooze
Magmite,Magmite
Large Ooze,Large Ooze
Giant Rat,Giant Rat
Dire Rat,Dire Rat
Chitters-In-Darkness,Chitters-In-Darkness
Rabid Rat,Rabid Rat
Shade,Shade
Dire Serpent,Dire Serpent
Fell Serpent,Fell Serpent
Giant Snake,Giant Snake
Fleshstrider,Fleshstrider
Flying Polyp,Flying Polyp
Dragon's Herald,Dragon's Herald
Evolved,Evolved
Newborne,Newborn
Vessel,Vessel
Stalker,Stalker
Giant Spider,Giant Spider
Large Spider,Large Spider
Shambler,Shambler
Frost Shambler,Frost Shambler
#Unique Humanoids,#Unique Humanoids
Big Lorn,Big Lorn
Arra the Trader,Arra the Trader
Doran the Pilot,Doran the Pilot
Chef Armand,Chef Armand
Kydeon,Kydeon
The scarred and graying veteran smiles varmly towards you,"The scarred, greying veteran gives you a cordial and familial smile"
Calipero,Calipero
Lyra,Lyra
Malachai,Malachai
Driina,Driina
The imposing cleric turns to face you,The imposing cleric turns to face you
"There's a steely resolve in her eyes, but she gives you a warm, if sad smile by way of greeting","There's a steely resolve in her eyes, but she gives you a warm, if sad smile by way of greeting"
Embla,Embla
Bernard,Bernard
Barmaid,Barmaid
Baroness of Firgol,Baroness of Firgol
PERT THE BEEKEEPER,PERT THE BEEKEEPER
Pert the Beekeeper,Pert the Beekeeper
Ari,Ari
Cass,Cass
Temmy,Temmy
Jeb,Jeb
Vendor,Vendor
Klara,Klara
Majordomo,Majordomo
Drummer,Drummer
Piper,Piper
Lutist,Lutist
Camilla,Camilla
Hierophant Drahl,Hierophant Drahl
Albert,Albert
Blacksmith,Blacksmith
Quartermaster,Quartermaster
Clothier,Clothier
Julia,Julia
Ylia,Ylia
Martha,Martha
Frantzo,Frantzo
Captain Vivian,Captain Vivian
BOBBERT THE RECRUIT,BOBBERT THE RECRUIT
Bobbert the Recruit,Bobbert the Recruit
Rat Queen,Rat Queen
Esteban,Esteban
Armand,Armand
Art Peddler,Art Peddler
Merchant,Merchant
BOR THE SEWERJACK,BOR THE SEWERJACK
Bor the Sewerjack,Bor the Sewerjack
Cora,Cora
Natia,Natia
Philip,Philip
Iago,Iago
Dono,Dono
Anto,Anto
Zhara,Zhara
Iben,Iben
Chamberlain,Chamberlain
Markus,Markus
Chamberlain to the governor of Idra,Chamberlain to the governor of Idra
Jakub,Jakub
Ella,Ella
{addVocalBarkLocal|I've too much on my mind right now...},{addVocalBarkLocal|I've too much on my mind right now...}
Giorgy,Giorgy
"A ragged man, caked in dirt","A ragged man, caked in dirt"
Marita,Marita
Lighthouse Keeper,Lighthouse Keeper
Lon,Lon
The camp's cook,The camp's cook
Hannah,Hannah
"On your way through the refugee camp you notice a woman and a pale-looking child huddled together beneath an old, worn blanket","On your way through the refugee camp a woman and a pale-looking child huddled together beneath an old, worn blanket catches your eye"
Shepherd,Shepherd
Wreck Picker,Wreck Picker
Kat,Kat
Maija,Maija
Andros,Andros
Marsa,Marsa
A young girl,A young girl
She's ragged and far to lean but she is smiling from ear to ear as she clutches her stuffed animal,Her gaunt face wears a from ear to ear as she clutches her stuffed animal with untold affection
She's ragged and far to lean and looks like she's been crying recently,"The bones of the haggard girl poke through tattered rags. It looks like she's been crying recently, too"
Mother Katak,Mother Katak
"An old, silver-haired crone","An old, silver-haired crone"
Thomas,Thomas
Oleg the Gray,Oleg the Grey
OLEG THE GRAY,OLEG THE GREY
Red Kala,Red Kala
The Butcher,The Butcher
Roland,Roland
Snow,Snow
"The man called ""Snow"" by his crew, was once the first mate of the Zephyr","The once first mate of the Zephyr, named ""Snow"" by the crew"
Aaron,Aaron
Leva,Leva
One of the wretched surviors from the Zephyr,One of the wretched survivors from the Zephyr
"The woman looks torn, tattered and exhausted","The woman looks torn, tattered and exhausted"
"As you approach, she offers a tired, but grateful smile","As you approach, she offers a weary but grateful smile"
Grigor,Grigor
"The man looks torn, tattered and exhausted",The man looks torn; tattered and exhausted
As you approach the sailor shrinks back in terror whilst avoiding your gaze,"The sailor shrinks in terror as you approach, avoiding your gaze"
"As you approach the sailor offers a tired, but grateful smile","As you approach the sailor, he offers a tired but grateful smile"
Jan,Feb
Andry,Andry
Carylla,Carylla
Tycho,Tycho
The Ancient King,The Ancient King
Joran the Usurper,Joran the Usurper
,
Laborer (Human,Labourer
CHITTERS-IN-DARKNESS,CHITTERS-IN-DARKNESS
