original,translate
"A massive, reinforced door","A massive, reinforced door"
This door appears to be barricaded from the other side,This door appears to be barricaded from the other side
It cannot be opened from this side,It cannot be opened from this side
Barred Door,Barred door
Inn Door,The Inn door
Portal,A portal
Web,Webs
The web of some giant arachnid,The web of some giant arachnid
#Inspectables,#Inspectables
The piece of paper seems to contain a work order,The piece of paper seems to contain a work order
"and as can clearly be observed, the tunnel’s support pillar is close to giving in","and as can clearly be observed, the tunnel’s support pillar is close to giving in"
"If this last piece of support was to be removed, it is highly likely that the tunnel would collapse completely","If this last piece of support was to be removed, it is highly likely that the tunnel would collapse completely"
continue the previous day’s work of expanding the tunnel eastwards,continue the previous day’s work of expanding the tunnel eastwards
I believe you should be very close to breaking through,I believe you should be very close to breaking through
Doing so will allow us to create a short-cut to the mine’s entrance and I don’t need to tell you how much this would improve logistics,Doing so will allow us to create a short-cut to the mine’s entrance and I don’t need to tell you how much this would improve logistics
Barricade,Barricade
A barricade constructed from debris blocks this path,A barricade constructed from debris blocks this path
It is too large to dismantle before retaking the city and for now you must find some way around it,It is too large to dismantle before retaking the city and for now you must find some way around it
Cave In,A cave in
A portion of the cave has collapsed behind you,A portion of the cave has collapsed behind you
There is no going back this way,There is no going back this way
Spider Corpse,A spider corpse
The mauled corpse of a giant spider,The mauled corpse of a giant spider
Grave,A grave
A fresh grave with a simple marker made of sticks,A fresh grave with a simple marker made of sticks
No name can be found upon it,No name can be found upon it
The corpse belongs to a graying old man,"The corpse belongs to a greying, old man"
His face is serene and there is nothing to indicate he did not die of natural causes,His face is serene. There is nothing to indicate he did not die of natural causes
"Leaning over the body however, you spot thin strands of some bizarre purplish fungal growth protruding from the man's mouth and nose","Leaning over the body however, you spot thin strands of some bizarre purplish fungal growth protruding from the man's mouth and nose"
"Strange vines of some unknown, purplish growth bursts forth from the masonry","Strange vines of some unknown, purplish growth bursts forth from the masonry"
"As you lean in, fine strands reach greedily towards you","As you lean in, fine strands reach greedily towards you"
You recoil in disgust and decide it’s best to not touch the growths,You recoil in disgust and decide it’s best to not touch the growths
Dead Body,A dead body
A body lies broken upon the ground,A battered body lies broken upon the ground
"Though it has been gnawed by hounds, it seems clear that this person fell or jumped from the cliffs above","Though it has been gnawed by hounds, it seems clear that this person fell from a great height; the cliffs above"
Old Crates,Old crates
Old and ruined shipping crates litter this part of the cave,Old and ruined shipping crates litter this part of the cave
Only smugglers would use a place like this to store their goods,Only smugglers would use a place like this to store their goods
"Perhaps there are other, similar caches to be found on the Outer Isles?","Perhaps there are other, similar caches to be found on the Outer Isles?"
A Note,A note
A note is scrawled in crude letters,A barely legible note is scrawled in crude letters
Kook!,Kook!
I cannot stand another meal of Salted Fish!,I cannot stand another meal of salted fish!
Armour stands,There is a limit to how long a man can live on salted potatoes and salted perklin
"Take head, or git a dagger in the eye ye cheap basterd","Take head, or git a dagger in the eye ye cheap basterd"
Strange Jar,Strange Jar
An oddly shaped container of some unknown design,An oddly shaped container of some unknown design
"The surface is smooth and metallic, but not of a material you recognize","The surface is smooth and metallic, but not of a material you recognise"
"Though the artifact is without a scratch, it still somehow conveys impossible age","Though the artifact is without a scratch, it still somehow conveys impossible age"
Librarian’s Journal,The librarian’s journal
A book lies open on the librarian’s desk,A book lies open on the librarian’s desk
"Brother Auran has once again made off with the key to the forbidden section, claiming it is ‘much more convenient for both me and him’ that he keeps it for the duration of his studies","Brother Auran has once again made off with the key to the forbidden section, claiming it is ‘much more convenient for both me and him’ that he keeps it for the duration of his studies"
He’s assured me it’s well hidden in his study in the eastern tower whilst not in use,He’s assured me it’s well hidden in his study in the eastern tower whilst not in use
Bloody fool,Bloody fool
I’ll need to send lay-brother Theo to recover it next time Auran is sleeping,I’ll need to send lay-brother Theo to recover it next time Auran is sleeping
Sea-Caves,Sea-caves
The sea-caves lie abandoned and closed off,The sea-caves lie abandoned and closed off
Scribbled in a shaky hand on ancient parchment is the following verse,Scribbled in a shaky hand on ancient parchment is the following verse
Walk the path in humble fate Contemplate the hidden gate,Walk the path in humble fate Contemplate the hidden gate
Let the watchers show the way Like time flows ‘round the wheel of day,Let the watchers show the way Like time flows ‘round the wheel of day
To heed the silent sleepers call And enter into the Dreaming Hall,To heed the silent sleepers call And enter into the Dreaming Hall
Ink and Paper,Ink and paper
Ink and paper that appears to have been abandoned mid-use,A pot of ink and sheet of paper that appears to have been abandoned mid-use
It seems someone was copying the mosaic on the floor,It seems someone was copying the mosaic on the floor
Grotesque Relief,A grotesque relief
The sarcophagus has the following description,The sarcophagus has the following description
Carroleth the Manyfaced - First Grandmaster of the Order of the Crystal Eye,Carroleth the Many-faced - First Grand Master of the Order of the Crystal Eye
Rothrax the Gray - Second Grandmaster of the Order of the Crystal Eye,Rothrax the Grey - Second Grand Master of the Order of the Crystal Eye
Kalamar the Wise - Third Grandmaster of the Order of the Crystal Eye,Kalamar the Wise - Third Grand Master of the Order of the Crystal Eye
Secret Passage,A secret passage
The relief of this altarpiece seems to shift and squirm in the dancing light,The relief of this altarpiece seems to shift and squirm in the dancing light
"What’s more, there appears to be a hidden passage behind it","What’s more, there appears to be a hidden passage behind it"
No way of opening it can be seen nearby,No way of opening it can be seen nearby
Pile of Ash,Pile of ash
This cave opens up into the sheer cliff wall beneath the tower,This cave opens up into the sheer cliff wall beneath the tower
Piled on the ledge is a great heap of ash that the wind occasionally carries away in great wisps,Piled on the ledge is a great heap of ash that the wind occasionally carries away in great wisps
Carefully you prod the pile only to find a small handful of scorched human bones and teeth,"Carefully you prod the pile, only to find a small handful of scorched human bones and teeth"
"Looking around, you see a great in the ceiling above from which the ash appears to have been dumped","Looking around, you see a grate in the ceiling above, from which the ash appears to have been dumped"
"A large square slab with small holes carved in it appears to be placed over some sort of shaft, sealing it shut","A large square slab with small holes carved in it appears to be placed over some sort of shaft, sealing it shut"
You attempt to look through one of the holes but are knocked back by an unbearable stench emitting from below,You attempt to look into one of the holes but an unbearable stench permeates through from below; you are knocked back
But wait?,But wait!
Was there something else?,"A glimpse before you were overpowered, of something; was there something else…"
Movement?,Movement?
The slab seems too heavy to lift and just as well,The slab seems too heavy to lift. Just as well
You have an overwhelming feeling that what is trapped in the shaft below was not meant for mortal eyes to see and is best left in the dark,you have an overwhelming feeling that what is trapped in the shaft below was not meant for mortal eyes to see and is best left in the inky blackness it calls home
A Desk,A desk
A desk with a maritime navigation map,A desk with a maritime navigation map laid on it
The map is labled 'The Outer Isles' and a course is drawn towards an island named 'Idra',"The map is labelled ""The Outer Isles"" and a course is drawn towards an island named ""Idra"""
A Grisly Scene,A... grisly scene
You recognize the corpse of one of the crew-mates,You recognise the corpse of one of the crew mates
A young man of barely 16 years called Sullum,A young man of barely 16 years called Sullum
The youth has been mauled to death by what you assume are the grotesquely altered rats you encounterd just minutes ago,"The unfortunate youth bears deep lacerations all over, presumably mauled to death by the grotesquely altered rats you encountered just moments ago"
The corpse is still warm,The corpse is still warm
#Interactables,#Interactables
A Cat,A cat
A cat watches you intently,A cat watches you intently
Chain,A chain
Beehive,A beehive
Benches,Benches
Drinks,Drinks
Food,Food
A King in Yellow,A King in yellow garb
Stage,The stage
Stairways,The stairways
Mine Entrance,The mine entrance
Grindstone,A grindstone
A grindstone used for sharpening weapons,A grindstone used for sharpening weapons
Entrance to Tunnels,Entrance to the tunnels
The Fishermen's Gate,The Fishermen's Gate
A Prisoner,A pitiful prisoner
Dead Horse,A dead horse
Scraps of Meat,Scraps of meat
Jakub and Ella,Jakub and Ella
The Ganglion,The Ganglion
A Well,A Well
Dessicated Corpse,Desiccated corpse
Ladder,A ladder
Telescope,A telescope
Cato's Study,Cato's study
Prisoner,Prisoner
A Map,A map
Faulty Support,Faulty support
Weakened Wall,Weakened wall
Mole Burrow,Mole burrow
A Monolith,A monolith
Portcullis,The portcullis
Ancient Monolith,An ancient monolith
Golden Tomb,A golden tomb
Gong,A gong
A Statue,A statue
Rope,A rope of a thousand uses
A Painting,A painting
Helm,Helm
Shrine of Agility,The Shrine of Agility
Shrine of Fortitude,The Shrine of Fortitude
Shrine of Intellect,The Shrine of Intellect
Shrine of Presence,The Shrine of Presence
Shrine of Strength,The Shrine of Strength
Driina,Driina
Pool,A pool
A Stange Statue,A strange statue
Console,A console
Strange Basins,Some strange basins
Vomit Cap cluster,A cluster of vomit caps
Waterfall,A waterfall
Winch,A winch
Drainage,Drainage
Elevator,A lift
A Strange Machine,A strange machine
Protoplasmic Catalyzer,"A... protoplasmic catalyser, of course"
Book,Book
Reflecting Pool,The reflecting pool
#LightSources,#LightSources
Bees,Bees!
Brazier,A brazier
Camp Fire,A campfire
Candles,Some candles
Candle,A candle
Flies,"Flies. Buzz off, would ya"
Fire,A fire
Fireflies,A few fireflies
Glow Globe,A glow globe
Model,A model
Lightcaster,A lightcaster
Stake,A stake
Torch,A torch
A torch hangs on the wall,A torch hangs on the wall
Light,"A heavy- no wait, it's a light"
#Pickups,#Pickups
Carrots,Carrots
Cheese Wheel,A cheese wheel
Fish,A fish
Gullyfern,Gullyfern
Legionnaire’s Rest,Legionnaire’s Rest
Sorrow-Eater,Sorrow-Eaters
Starspawn,Starspawn
Sunmouth,Sunmouth
Apples,Apples
Pears,Pears
Eggs,Eyren
Cured Hams,Cured Hams
Lantern,A lantern
Leeks,Leeks
Patch of Cavechild,Patch of cavechild
Patch of Glowmen,Patch of glowmen
Fellbell,Fellbell
Laughtercap,Laughtercap
Morel,Morel
Punny Bun,Penny bun
Wyrdloaf,Wyrdloaf
Bird's Nest,A bird's nest
Onions,Onions
Pick-Axe,Pickaxe
Potatos,Potatoes
Ripe Pumpkin,A ripe pumpkin
Recipe,Recipe
Rotten Log,A rotten log
A Badge,A badge
Shovel,Shovel
Vessels,Vessels
Lotus Pool,The Lotus Pool
#TestProps,#TestProps
Broken Bridge,A broken bridge
The bridge ahead is broken,The bridge ahead is broken
Perhaps you can jump the gap?,Leap the precipice?
Climbing Holds,Climbing holds
You can climb down this wall,You can climb down this wall
You can climb the wall ahead,You can climb the wall ahead
Stack of Boxes,Stack of boxes
#Triggers,#Triggers
{notHasJournalEntry|JOU_CrabCaveEntrance},{notHasJournalEntry|JOU_CrabCaveEntrance}
A Survivor,A survivor
#Warps,#Warps
Entrance,An entrance
Stairs,A set of stairs
A set of stairs leading to the deck above,A set of stairs leading to the deck above
Stairs Up,The stairs up
Cave Entrance,A cave entrance
Exit,The exit
A set of stairs leading to the deck below,A set of stairs leading to the deck below
Stairs Down,The stairs down
Trapdoor,A trapdoor
Castle Entrance,The castle entrance
Castle Exit,The castle exit
Catacomb Entrance,The catacomb entrance
Exit to Temple,The exit to the temple
Grate,A grate. Doesn’t seem so special
Secret Door,A secret door
Firgol,Firgol
Adler's Helm,Adler's Helm
Horryn,Horryn
A Hidden Glen,A hidden glen
Abandoned Farm,An abandoned farm
A Refugee Camp,A refugee camp
A Forest Glade,A forest glade
The Wreck of the Zephyr,The wreck of the Zephyr
A Lighthouse,A lighthouse
The Black Priory,The Black Priory
Sea Caves,Sea-caves
A Tower,A tower
Rope and Bucket,A rope and bucket
Ladders,Ladders
#WorkBenches,#WorkBenches
Workbench,Workbench
Alchemist's Tools,Some alchemist tools.
A cauldron for cooking,A cooking cauldron
Pot,A pot
An pot that can be used for cooking,A cooking pot
Oven,An oven.
An oven that can be used for cooking,An oven for cooking food
A Comfortable Camp,A Comfortable Camp
A Rough Camp,A Rough Camp
Party Management,Party Management
