original,translate
It’s difficult to say what it is but is seems to be out of place there,It’s difficult to say what it is but is seems to be out of place there
Joran the Usurper,Joran the Usurper
A strange and ancient creature clings to undeath in the bowels of the catacombs under Horryn,A queer and ancient creature clings to undeath in the bowels of the catacombs under Horryn
The hateful creature will not rest until I bring it the sword of “Joran the Usurper,The hateful creature will not rest until I bring it the sword of “Joran the Usurper
I wonder if this usurper could be buried in one of the other tombs in this catacomb,I wonder if this usurper could be buried in one of the other tombs in this catacomb
Main Gate Opened,Main Gate Opened
The main gate of Horryn is now opened!,Huzzah! The main gate of Horryn is now open!
Sea-Gate Open,Sea-Gate Open
The Horryn sea-gate is now opened!,The Horryn sea-gate has been opened!
The Art Dealer,The Art Dealer
An art-dealer down in the Underhalls beneath Horryn is looking to buy strange and unusual artifacts if I find any,"An art-dealer down in the Underhalls beneath Horryn is looking to buy any remarkable oddities and curious, inscrutable artifacts I may come across"
Reaver Cellar,Reaver Cellar
A pair of Reavers appeared to be guarding something in the cellar under Olge’s lodge,A pair of Reavers appeared to be guarding something in the cellar under Olge’s lodge
#Chapter 3,#Chapter 4
To Find a Ship,To Find a Ship
We must find a ship willing to take us to Gradla,We must find a seaworthy vessel willing to sail to ferry us to Gradla
Markus the chamberlain suggests I seek out the smugglers that are rumored to be holed up in a cave north-west of Horryn,"Markus the chamberlain told of a rumour that smugglers are currently sequestering in a cave to the northwest of Horryn, and suggests that I should consider seeking them out"
That would place it somewhere near the location 66 by 91 on the Outer Isles map,The knowledgeable and resourceful chamberlain approximates their position to be nearby the coordinates 66 by 91 on the Outer Isles map
We must find a ship willing to take us to Gradla and I think the ship and crew hiding in the sea-caves north-west of town is likely my best bet,We must find a ship willing to take us to Gradla. The ship and crew stowed away in the sea-cave to the northwest of town seems to be my best option at present
The cave is located at position 66 by 91 on the Outer Isles map,The cave is located at position 66 by 91 on the Outer Isles map
Horryn is Saved,Horryn is Saved
I managed to storm the keep in Horryn and stamp out the last remnants of the Reavers,I managed to storm the keep in Horryn and stamp out the last remnants of the Reaver infestation
"Though hundreds are dead and the city in ruins, Horryn appears to be safe for now","Many lie dead in the streets, the city itself in ruins; but at least Horryn is safe for the time being"
Iago Rejoins his Crew,Iago Rejoins his Crew
Iago has gone ahead to rejoin his crew and begin preparations for us to sail for Gradla,"Iago has gone ahead to rejoin his crew and begin preparations for us to sail for Gradla in a sea-cave, discreetly providing me with its location"
He awaits us up in a large sea-cave at position 66 by 91 on the Outer Isles map,He currently awaits my arrival at the position 66 by 91 on the Outer Isles map
That should make it north-west of Horryn,That should make it north-west of Horryn
#Chapter 4,#Chapter 4
Colony Collapse,Colony Collapse
I found several dead or dying bee-hives in Firgol,I found several dead or dying bee-hives in Firgol
It seems the bees there are fighting amongst each other,It seems the bees there are fighting amongst each other
Firgol Bees,Firgol Bees
"Despite assurances that ‘Firgol bees do not sting’, I found the bees in one of the hives to be quite aggressive","Despite assurances that ‘Firgol bees do not sting’, I found the bees in one of the hives to be quite aggressive"
I may need to find some way of pacifying them if I am going to get at the honey,I may need to find some way of pacifying them if I am going to get at the honey
Trapped Mine Tunnel,Trapped Mine Tunnel
I’ve rigged one of the tunnels in the mine at Adler’s Helm to collapse,I’ve rigged one of the tunnels in the mine at Adler’s Helm to collapse
The trap can be triggered by using a rope to pull away the remaining support-beam and I’m certain it could be done rapidly if need be,"The trap can be triggered by using a rope to pull away the remaining support-beam. I took care to construct it in a way that it can only be triggered intentionally, but such that it comes away and collapses with the ease and rapidity of untying a shoelace"
The False Tomb,The False Tomb
I found and opened the sarcophagus in the Priory catacombs central tomb-chamber,I found and opened the sarcophagus in the Priory catacombs central tomb-chamber
"Surprisingly, it turns out to be empty!","To my surprise, it turned out to be empty, how disappointing!"
A decoy perhaps?,"Did someone beat me to the plunder, or was it constructed to have decoys like the tombs of ancient kings found in my homeland?"
The Gong,The Gong
I performed a ritual using the gong outside the tomb chamber,I performed a ritual using the gong outside the tomb chamber
I have a strong feeling it was correctly performed though I cannot tell exactly to what purpose,"My intuition tells me that I performed the ritual correctly, though the precise purpose of it remains a mystery to me"
Perhaps some kind of trap was deactivated?,"I barely heard the distant clicking of some mechanism over the gong's ringing. I can only hope that some trap was deactivated, and that I didn't just seal myself in this place!"
Tunnels in the Dark,Tunnels in the Dark
I found a secret exit in the tomb-chamber that leads to tunnels engulfed by magical darkness,I found a secret exit in the tomb-chamber that leads to tunnels engulfed by magical darkness
I feel certain the way forwards lie through these tunnels though I must take care not to get lost in the dark as I attempt to navigate them,"The path forwards must certainly lie through the darkness of the tunnels ahead. I shall have to take special care navigating them, lest I become lost; or worse"
The First Sarcophagus,The First Sarcophagus
I found a sarcophagus under the Priory with the following description,I found a sarcophagus under the Priory with the following description
Carroleth of the Crystal Eye - First Grandmaster of the Order of the Crystal Eye,Carroleth of the Crystal Eye - First Grandmaster of the Order of the Crystal Eye
The Second Sarcophagus,The Second Sarcophagus
Rothrax the Gray - Second Grandmaster of the Order of the Crystal Eye,Rothrax the Grey - Second Grandmaster of the Order of the Crystal Eye.
The Third Sarcophagus,The Third Sarcophagus
Kalamar the Wise - Third Grandmaster of the Order of the Crystal Eye,Kalamar the Wise - Third Grandmaster of the Order of the Crystal Eye
The Ascension Chamber,The Ascension Chamber
I found the chamber where Calipero’s apprentices go to “ascend” as a reward for their service,I found the chamber where Calipero’s apprentices go to “ascend” as a reward for their service
"Grotesquely, the chamber appears to be nothing more than a crematorium","Grotesquely, the chamber appears to be nothing more than a crematorium"
Kill the Queen,Kill the Queen
I found a strange queen in one of the hives,I found a strange queen in one of the hives
I suspect it’s the cause of the collapse of the other colonies and so I quickly dispatched it,"I suspect it’s the cause of the collapse of the other colonies, so I quickly dispatched it"
Pilgrim's Shrines,Pilgrim's Shrines
I found an old pilgrim’s shrine,I found an old pilgrim’s shrine
If I could somehow learn the proper prayers and rituals I could probably complete the pilgrimage myself if I wanted,"If I could only learn the proper prayers and rituals required for the pilgrimage, I could complete it myself and reap the benefits of doing so"
The Maiden Sets Sail,The Maiden Sets Sail
We’ve taken to the high seas on the Weathermaiden,We’ve taken to the high seas on the Weathermaiden
"We must, however, stay close to shore lest we invoke the wrath of the behemoth that stalks the deeper seas of the Outer Isles","We must, however, stay close to shore lest we invoke the wrath of the behemoth that stalks the deeper seas of the Outer Isles"
#Chapter 5,#Chapter 5
A Language of Pure Logic,A Language of Pure Logic
I managed to somehow become attuned to the language of the great machine inside the ancient structure,I managed to somehow become attuned to the language of the great machine inside the ancient structure
