original,translate
Air Magic Initiate,Air Magic Initiate
Air Magic Expert,Air Magic Expert
Air Magic Master,Air Magic Master
Air Magic Grand Master,Air Magic Grandmaster
Trickster Initiate,Trickster Initiate
Trickster Expert,Trickster Expert
Trickster Master,Trickster Master
Arcane Font Initiate,Arcane Font Initiate
Arcane Font Expert,Arcane Font Expert
Arcane Font Master,Arcane Font Master
Arcane Spellcasting,Arcane Spellcasting
Sorcerous Initiate,Sorcerous Initiate
Sorcerous Expert,Sorcerous Expert
Sorcerous Master,Sorcerous Master
Blade Initiate,Blade Initiate
Earth Magic Initiate,Earth Magic Initiate
Earth Magic Expert,Earth Magic Expert
Earth Magic Master,Earth Magic Master
Earth Magic Grand Master,Earth Magic Grandmaster
Fire Magic Initiate,Fire Magic Initiate
Fire Magic Expert,Fire Magic Expert
Fire Magic Master,Fire Magic Master
Fire Magic Grand Master,Fire Magic Grandmaster
Light Weapons Initiate,Light Weapons Initiate
Light Weapons Expert,Light Weapons Expert
Touched by the Reticulum,Touched by the Reticulum
Ranged Weapons Initiate,Ranged Weapons Initiate
#NPC Feats,#NPC Feats
Warrior,Warrior
#Rogue Feats,#Rogue Feats
Bardic Magic Initiate,Bardic Magic Initiate
Bardic Magic Expert,Bardic Magic Expert
Bardic Magic Master,Bardic Magic Master
Bardic Spellcasting,Bardic Spellcasting
Backstab Initiate,Backstab Initiate
Backstab Expert,Backstab Expert
Backstab Master,Backstab Master
Backstab Grand Master,Backstab Grandmaster
Bard Initiate,Bard Initiate
Bard Expert,Bard Expert
Bard Master,Bard Master
Tradecraft,Tradecraft
Duelist Initiate,Duellist Initiate
Duelist Expert,Duellist Expert
Duelist Master,Duellist Master
Duelist Grand-Master,Duellist Grandmaster
Mobility Initiate,Mobility Initiate
Mobility Expert,Mobility Expert
Mobility Master,Mobility Master
Rogue Blade Initiate,Rogue Blade Initiate
Rogue Blade Expert,Rogue Blade Expert
Rogue Ranged Initiate,Rogue Ranged Initiate
Rogue Ranged Expert,Rogue Ranged Expert
Survivor Initiate,Survivor Initiate
Survivor Expert,Survivor Expert
Survivor Master,Survivor Master
Thievery Initiate,Thievery Initiate
Thievery Expert,Thievery Expert
Thievery Master,Thievery Master
#Wanderer Feats,#Wanderer Feats
Nature Spellcasting,Nature Spellcasting
You gain the ability to learn spells from the Nature School,You gain the ability to learn spells from the Nature School
Nature Magic Initiate,Nature Magic Initiate
You may now cast Tier 1 spells of the Nature School,You may now cast Tier 1 spells of the Nature School
Nature Magic Expert,Nature Magic Expert
You may now cast Tier 2 spells of the Nature School,You may now cast Tier 2 spells of the Nature School
Nature Magic Master,Nature Magic Master
You may now cast Tier 3 spells of the Nature School,You may now cast Tier 3 spells of the Nature School
Nature Magic Grand Master,Nature Magic Grandmaster
You may now cast Tier 4 spells of the Nature School,You may now cast Tier 4 spells of the Nature School
#Warrior Feats,#Warrior Feats
Archery Initiate,Archery Initiate
Archery Expert,Archery Expert
Archery Master,Archery Master
Arms Mastery,Arms Mastery
Axe Initiate,Axe Initiate
Axe Expert,Axe Expert
Axe Master,Axe Master
Bred for War,Bred for War
Tough as Nails,Tough as Nails
Light Armor Mastery,Light Armour Mastery
Medium Armor Mastery,Medium Armour Mastery
Heavy Armor Mastery,Heavy Armour Mastery
Calloused Hands,Calloused Hands
Brutality,Brutality
Bloodthirsty,Bloodthirsty
Club Initiate,Club Initiate
Club Expert,Club Expert
Club Master,Club Master
Leadership Initiate,Leadership Initiate
Leadership Expert,Leadership Expert
Leadership Master,Leadership Master
Leadership Grand-Master,Leadership Grandmaster
Ranger Initiate,Ranger Initiate
Ranger Expert,Ranger Expert
Ranger Master,Ranger Master
Shield Initiate,Shield Initiate
Shield Expert,Shield Expert
Shield Master,Shield Master
Sword Initiate,Sword Initiate
Sword Expert,Sword Expert
Sword Master,Sword Master
Two-Handed Initiate,Two-Handed Initiate
Two-Handed Expert,Two-Handed Expert
Two-Handed Master,Two-Handed Master
