original,translate
A necklace that can be sold for a few coins,A necklace that can be sold for a few coins
Opal Necklace,Opal Necklace
A necklace that will fetch a nice price,A necklace that will fetch a nice price
Silver Necklace,Silver Necklace
Gold Necklace,Gold Necklace
Copper Necklace,Copper Necklace
Copper Locket,Copper Locket
Jade Necklace,Jade Necklace
Ruby Necklace,Ruby Necklace
Ancient Gold Necklace,Ancient Gold Necklace
Ancient Jade Necklace,Ancient Jade Necklace
The Guarded Heart,The Guarded Heart
A beautifully crafted golden ring with a heart carved into it,"A resplendent and pure silver ring, beautifully crafted with a heart carved into it"
The wearer of this ring will find their resolve strengthened,The wearer of this ring shall find his or her resolve strengthened
Adds +1 to Will,Adds +1 to Will
Skull Ring,Skull Ring
An exquisitely crafted ring that could be quite valuable,An exquisitely crafted ring that could be quite valuable
Topaz Ring,Topaz Ring
Lapis Ring,Lapis Ring
Frater's Ring,Frater's Ring
Sepulchite's Ring,Sepulchite's Ring
Flowgold Ring,Flowgold Ring
Wavestrider Ring,Wavestrider Ring
Tempest Ring,Tempest Ring
Lupercal Ring,Lupercal Ring
Arboreal Ring,Arboreal Ring
Primordial Ring,Primordial Ring
Ruby Ring,Ruby Ring
Genesis Ring,Genesis Ring
Fire Opal Ring,Fire Opal Ring
Emerald Ring,Emerald Ring
Amethyst Ring,Amethyst Ring
Serpent Ring,Serpent Ring
Aquamarine Ring,Aquamarine Ring
Sunstone Ring,Sunstone Ring
Green Sapphire Ring,Green Sapphire Ring
Brass Ring,Brass Ring
"A modest, but well crafted ring",A modest but well crafted ring
Silver Ring,Silver Ring
Gold Ring,Gold Ring
"A modest, but well crafted golden ring",A modest but well crafted golden ring
#Accessories - Types,#Accessories - Types
Footwear,Footwear
Glove,Glove
Headwear,Headwear
Necklace,Necklace
Ring,Ring
#Enchantments - Weapons,#Enchantments - Weapons
Accurate Fine Broadsword,Accurate Fine Broadsword
Fine Broadsword of Greater Accuracy,Fine Broadsword of Greater Accuracy
Fine Broadsword of Defence,Fine Broadsword of Defence
Keen Fine Broadsword,Keen Fine Broadsword
Savage Fine Broadsword,Savage Fine Broadsword
Accurate Fine Club,Accurate Fine Club
Fine Club of Greater Accuracy,Fine Club of Greater Accuracy
Fine Club of Defence,Fine Club of Defence
Keen Fine Club,Keen Fine Club
Savage Fine Club,Savage Fine Club
Fine Cutlass of Celerity,Fine Cutlass of Celerity
Accurate Fine Cutlass,Accurate Fine Cutlass
Fine Cutlass of Greater Accuracy,Fine Cutlass of Greater Accuracy
Fine Cutlass of Defence,Fine Cutlass of Defence
Keen Fine Cutlass,Keen Fine Cutlass
Savage Fine Cutlass,Savage Fine Cutlass
Fine Dagger of Celerity,Fine Dagger of Celerity
Accurate Fine Dagger,Accurate Fine Dagger
Fine Dagger of Greater Accuracy,Fine Dagger of Greater Accuracy
Fine Dagger of Defence,Fine Dagger of Defence
Keen Fine Dagger,Keen Fine Dagger
Savage Fine Dagger,Savage Fine Dagger
Fine Greataxe of Celerity,Fine Greataxe of Celerity
Accurate Fine Greataxe,Accurate Fine Greataxe
Fine Greataxe of Greater Accuracy,Fine Greataxe of Greater Accuracy
Fine Greataxe of Defence,Fine Greataxe of Defence
Keen Fine Greataxe,Keen Fine Greataxe
Savage Fine Greataxe,Savage Fine Greataxe
Fine Greathammer of Celerity,Fine Greathammer of Celerity
Accurate Fine Greathammer,Accurate Fine Greathammer
Fine Greathammer of Greater Accuracy,Fine Greathammer of Greater Accuracy
Fine Greathammer of Defence,Fine Greathammer of Defence
Keen Fine Greathammer,Keen Fine Greathammer
Savage Fine Greathammer,Savage Fine Greathammer
Fine Handaxe of Celerity,Fine hand axe of Celerity
Accurate Fine Handaxe,Accurate Fine hand axe
Fine Handaxe of Greater Accuracy,Fine hand axe of Greater Accuracy
Fine Handaxe of Defence,Fine hand axe of Defence
Keen Fine Handaxe,Keen Fine hand axe
Savage Fine Handaxe,Savage Fine hand axe
Fine longsword of Celerity,Fine longsword of Celerity
Accurate Fine longsword,Accurate Fine longsword
Fine longsword of Greater Accuracy,Fine longsword of Greater Accuracy
Fine longsword of Defence,Fine longsword of Defence
Keen Fine longsword,Keen Fine longsword
Savage Fine longsword,Savage Fine longsword
Fine Mace of Celerity,Fine Mace of Celerity
Accurate Fine Mace,Accurate Fine Mace
Fine Mace of Greater Accuracy,Fine Mace of Greater Accuracy
Fine Mace of Defence,Fine Mace of Defence
Keen Fine Mace,Keen Fine Mace
Savage Fine Mace,Savage Fine Mace
Fine Rapier of Celerity,Fine Rapier of Celerity
Accurate Fine Rapier,Accurate Fine Rapier
Fine Rapier of Greater Accuracy,Fine Rapier of Greater Accuracy
Fine Rapier of Defence,Fine Rapier of Defence
Keen Fine Rapier,Keen Fine Rapier
Savage Fine Rapier,Savage Fine Rapier
Fine Scimitar of Celerity,Fine Scimitar of Celerity
Accurate Fine Scimitar,Accurate Fine Scimitar
Fine Scimitar of Greater Accuracy,Fine Scimitar of Greater Accuracy
Fine Scimitar of Defence,Fine Scimitar of Defence
Keen Fine Scimitar,Keen Fine Scimitar
Savage Fine Scimitar,Savage Fine Scimitar
Fine Shortsword of Celerity,Fine Shortsword of Celerity
Accurate Fine Shortsword,Accurate Fine Shortsword
Fine Shortsword of Greater Accuracy,Fine Shortsword of Greater Accuracy
Fine Shortsword of Defence,Fine Shortsword of Defence
Keen Fine Shortsword,Keen Fine Shortsword
Savage Fine Shortsword,Savage Fine Shortsword
Fine Two-hander of Celerity,Fine Two-hander of Celerity
Accurate Fine Two-hander,Accurate Fine Two-hander
Fine Two-hander of Greater Accuracy,Fine Two-hander of Greater Accuracy
Fine Two-hander of Defence,Fine Two-hander of Defence
Keen Fine Two-hander,Keen Fine Two-hander
Savage Fine Two-hander,Savage Fine Two-hander
Fine Waraxe of Celerity,Fine War axe of Celerity
Accurate Fine Waraxe,Accurate Fine War axe
Fine Waraxe of Greater Accuracy,Fine War axe of Greater Accuracy
Fine Waraxe of Defence,Fine War axe of Defence
Keen Fine Waraxe,Keen Fine War axe
Savage Fine Waraxe,Savage Fine War axe
Fine Warhammer of Celerity,Fine War hammer of Celerity
Accurate Fine Warhammer,Accurate Fine War hammer
Fine Warhammer of Greater Accuracy,Fine War hammer of Greater Accuracy
Fine Warhammer of Defence,Fine War hammer of Defence
Keen Fine Warhammer,Keen Fine War hammer
Savage Fine Warhammer,Savage Fine War hammer
Accurate Masterwork Broadsword,Accurate Masterwork Broadsword
Masterwork Broadsword of Greater Accuracy,Masterwork Broadsword of Greater Accuracy
Masterwork Broadsword of the Master,Masterwork Broadsword of the Master
Masterwork Broadsword of Acid,Masterwork Broadsword of Acid
Masterwork Broadsword of Defence,Masterwork Broadsword of Defence
Masterwork Broadsword of Fire,Masterwork Broadsword of Fire
Masterwork Broadsword of Frost,Masterwork Broadsword of Frost
Masterwork Broadsword of the Grand-master,Masterwork Broadsword of the Grandmaster
Keen Masterwork Broadsword,Keen Masterwork Broadsword
Savage Masterwork Broadsword,Savage Masterwork Broadsword
Masterwork Broadsword of Lightning,Masterwork Broadsword of Lightning
Accurate Masterwork Club,Accurate Masterwork Club
Masterwork Club of Greater Accuracy,Masterwork Club of Greater Accuracy
Masterwork Club of the Master,Masterwork Club of the Master
Masterwork Club of Acid,Masterwork Club of Acid
Masterwork Club of Defence,Masterwork Club of Defence
Masterwork Club of Fire,Masterwork Club of Fire
Masterwork Club of Frost,Masterwork Club of Frost
Masterwork Club of the Grand-master,Masterwork Club of the Grandmaster
Keen Masterwork Club,Keen Masterwork Club
Savage Masterwork Club,Savage Masterwork Club
Masterwork Club of Lightning,Masterwork Club of Lightning
Masterwork Cutlass of Celerity,Masterwork Cutlass of Celerity
Masterwork Cutlass of Speed,Masterwork Cutlass of Speed
Accurate Masterwork Cutlass,Accurate Masterwork Cutlass
Masterwork Cutlass of Greater Accuracy,Masterwork Cutlass of Greater Accuracy
Masterwork Cutlass of the Master,Masterwork Cutlass of the Master
Masterwork Cutlass of Acid,Masterwork Cutlass of Acid
Masterwork Cutlass of Defence,Masterwork Cutlass of Defence
Masterwork Cutlass of Fire,Masterwork Cutlass of Fire
Masterwork Cutlass of Frost,Masterwork Cutlass of Frost
Masterwork Cutlass of the Grand-master,Masterwork Cutlass of the Grandmaster
Keen Masterwork Cutlass,Keen Masterwork Cutlass
Savage Masterwork Cutlass,Savage Masterwork Cutlass
Masterwork Cutlass of Lightning,Masterwork Cutlass of Lightning
Masterwork Dagger of Celerity,Masterwork Dagger of Celerity
Masterwork Dagger of Speed,Masterwork Dagger of Speed
Accurate Masterwork Dagger,Accurate Masterwork Dagger
Masterwork Dagger of Greater Accuracy,Masterwork Dagger of Greater Accuracy
Masterwork Dagger of the Master,Masterwork Dagger of the Master
Masterwork Dagger of Acid,Masterwork Dagger of Acid
Masterwork Dagger of Defence,Masterwork Dagger of Defence
Masterwork Dagger of Fire,Masterwork Dagger of Fire
Masterwork Dagger of Frost,Masterwork Dagger of Frost
Masterwork Dagger of the Grand-master,Masterwork Dagger of the Grandmaster
Keen Masterwork Dagger,Keen Masterwork Dagger
Savage Masterwork Dagger,Savage Masterwork Dagger
Masterwork Dagger of Lightning,Masterwork Dagger of Lightning
Masterwork Greataxe of Celerity,Masterwork Greataxe of Celerity
Masterwork Greataxe of Speed,Masterwork Greataxe of Speed
Accurate Masterwork Greataxe,Accurate Masterwork Greataxe
Masterwork Greataxe of Greater Accuracy,Masterwork Greataxe of Greater Accuracy
Masterwork Greataxe of the Master,Masterwork Greataxe of the Master
Masterwork Greataxe of Acid,Masterwork Greataxe of Acid
Masterwork Greataxe of Defence,Masterwork Greataxe of Defence
Masterwork Greataxe of Fire,Masterwork Greataxe of Fire
Masterwork Greataxe of Frost,Masterwork Greataxe of Frost
Masterwork Greataxe of the Grand-master,Masterwork Greataxe of the Grandmaster
Keen Masterwork Greataxe,Keen Masterwork Greataxe
Savage Masterwork Greataxe,Savage Masterwork Greataxe
Masterwork Greataxe of Lightning,Masterwork Greataxe of Lightning
Masterwork Greathammer of Celerity,Masterwork Greathammer of Celerity
Masterwork Greathammer of Speed,Masterwork Greathammer of Speed
Accurate Masterwork Greathammer,Accurate Masterwork Greathammer
Masterwork Greathammer of Greater Accuracy,Masterwork Greathammer of Greater Accuracy
Masterwork Greathammer of the Master,Masterwork Greathammer of the Master
Masterwork Greathammer of Acid,Masterwork Greathammer of Acid
Masterwork Greathammer of Defence,Masterwork Greathammer of Defence
Masterwork Greathammer of Fire,Masterwork Greathammer of Fire
Masterwork Greathammer of Frost,Masterwork Greathammer of Frost
Masterwork Greathammer of the Grand-master,Masterwork Greathammer of the Grandmaster
Keen Masterwork Greathammer,Keen Masterwork Greathammer
Savage Masterwork Greathammer,Savage Masterwork Greathammer
Masterwork Greathammer of Lightning,Masterwork Greathammer of Lightning
Masterwork Handaxe of Celerity,Masterwork hand axe of Celerity
Masterwork Handaxe of Speed,Masterwork hand axe of Speed
Accurate Masterwork Handaxe,Accurate Masterwork hand axe
Masterwork Handaxe of Greater Accuracy,Masterwork hand axe of Greater Accuracy
Masterwork Handaxe of the Master,Masterwork hand axe of the Master
Masterwork Handaxe of Acid,Masterwork hand axe of Acid
Masterwork Handaxe of Defence,Masterwork hand axe of Defence
Masterwork Handaxe of Fire,Masterwork hand axe of Fire
Masterwork Handaxe of Frost,Masterwork hand axe of Frost
Masterwork Handaxe of the Grand-master,Masterwork hand axe of the Grandmaster
Keen Masterwork Handaxe,Keen Masterwork hand axe
Savage Masterwork Handaxe,Savage Masterwork hand axe
Masterwork Handaxe of Lightning,Masterwork hand axe of Lightning
Masterwork Longsword of Celerity,Masterwork Longsword of Celerity
Masterwork Longsword of Speed,Masterwork Longsword of Speed
Accurate Masterwork Longsword,Accurate Masterwork Longsword
Masterwork Longsword of Greater Accuracy,Masterwork Longsword of Greater Accuracy
Masterwork Longsword of the Master,Masterwork Longsword of the Master
Masterwork Longsword of Acid,Masterwork Longsword of Acid
Masterwork Longsword of Defence,Masterwork Longsword of Defence
Masterwork Longsword of Fire,Masterwork Longsword of Fire
Masterwork Longsword of Frost,Masterwork Longsword of Frost
Masterwork Longsword of the Grand-master,Masterwork Longsword of the Grandmaster
Keen Masterwork Longsword,Keen Masterwork Longsword
Savage Masterwork Longsword,Savage Masterwork Longsword
Masterwork Longsword of Lightning,Masterwork Longsword of Lightning
Masterwork Mace of Celerity,Masterwork Mace of Celerity
Masterwork Mace of Speed,Masterwork Mace of Speed
Accurate Masterwork Mace,Accurate Masterwork Mace
Masterwork Mace of Greater Accuracy,Masterwork Mace of Greater Accuracy
Masterwork Mace of the Master,Masterwork Mace of the Master
Masterwork Mace of Acid,Masterwork Mace of Acid
Masterwork Mace of Defence,Masterwork Mace of Defence
Masterwork Mace of Fire,Masterwork Mace of Fire
Masterwork Mace of Frost,Masterwork Mace of Frost
Masterwork Mace of the Grand-Master,Masterwork Mace of the Grandmaster
Keen Masterwork Mace,Keen Masterwork Mace
Savage Masterwork Mace,Savage Masterwork Mace
Masterwork Mace of Lightning,Masterwork Mace of Lightning
Masterwork Rapier of Celerity,Masterwork Rapier of Celerity
Masterwork Rapier of Speed,Masterwork Rapier of Speed
Accurate Masterwork Rapier,Accurate Masterwork Rapier
Masterwork Rapier of Greater Accuracy,Masterwork Rapier of Greater Accuracy
Masterwork Rapier of the Master,Masterwork Rapier of the Master
Masterwork Rapier of Acid,Masterwork Rapier of Acid
Masterwork Rapier of Defence,Masterwork Rapier of Defence
Masterwork Rapier of Fire,Masterwork Rapier of Fire
Masterwork Rapier of Frost,Masterwork Rapier of Frost
Masterwork Rapier of the Grand-master,Masterwork Rapier of the Grandmaster
Keen Masterwork Rapier,Keen Masterwork Rapier
Savage Masterwork Rapier,Savage Masterwork Rapier
Masterwork Rapier of Lightning,Masterwork Rapier of Lightning
Masterwork Scimitar of Celerity,Masterwork Scimitar of Celerity
Masterwork Scimitar of Speed,Masterwork Scimitar of Speed
Accurate Masterwork Scimitar,Accurate Masterwork Scimitar
Masterwork Scimitar of Greater Accuracy,Masterwork Scimitar of Greater Accuracy
Masterwork Scimitar of the Master,Masterwork Scimitar of the Master
Masterwork Scimitar of Acid,Masterwork Scimitar of Acid
Masterwork Scimitar of Defence,Masterwork Scimitar of Defence
Masterwork Scimitar of Fire,Masterwork Scimitar of Fire
Masterwork Scimitar of Frost,Masterwork Scimitar of Frost
Masterwork Scimitar of the Grand-master,Masterwork Scimitar of the Grandmaster
Keen Masterwork Scimitar,Keen Masterwork Scimitar
Savage Masterwork Scimitar,Savage Masterwork Scimitar
Masterwork Scimitar of Lightning,Masterwork Scimitar of Lightning
Masterwork Shortsword of Celerity,Masterwork Shortsword of Celerity
Masterwork Shortsword of Speed,Masterwork Shortsword of Speed
Accurate Masterwork Shortsword,Accurate Masterwork Shortsword
Masterwork Shortsword of Greater Accuracy,Masterwork Shortsword of Greater Accuracy
Masterwork Shortsword of the Master,Masterwork Shortsword of the Master
Masterwork Shortsword of Acid,Masterwork Shortsword of Acid
Masterwork Shortsword of Defence,Masterwork Shortsword of Defence
Masterwork Shortsword of Fire,Masterwork Shortsword of Fire
Masterwork Shortsword of Frost,Masterwork Shortsword of Frost
Masterwork Shortsword of the Grand-master,Masterwork Shortsword of the Grandmaster
Keen Masterwork Shortsword,Keen Masterwork Shortsword
Savage Masterwork Shortsword,Savage Masterwork Shortsword
Masterwork Shortsword of Lightning,Masterwork Shortsword of Lightning
Masterwork Two-Hander of Celerity,Masterwork Two-Hander of Celerity
Masterwork Two-Hander of Speed,Masterwork Two-Hander of Speed
Accurate Masterwork Two-Hander,Accurate Masterwork Two-Hander
Masterwork Two-Hander of Greater Accuracy,Masterwork Two-Hander of Greater Accuracy
Masterwork Two-Hander of the Master,Masterwork Two-Hander of the Master
Masterwork Two-Hander of Acid,Masterwork Two-Hander of Acid
Masterwork Two-Hander of Defence,Masterwork Two-Hander of Defence
Masterwork Two-Hander of Fire,Masterwork Two-Hander of Fire
Masterwork Two-Hander of Frost,Masterwork Two-Hander of Frost
Masterwork Two-Hander of the Grand-master,Masterwork Two-Hander of the Grandmaster
Keen Masterwork Two-Hander,Keen Masterwork Two-Hander
Savage Masterwork Two-Hander,Savage Masterwork Two-Hander
Masterwork Two-Hander of Lightning,Masterwork Two-Hander of Lightning
Masterwork Waraxe of Celerity,Masterwork War axe of Celerity
Masterwork Waraxe of Speed,Masterwork War axe of Speed
Accurate Masterwork Waraxe,Accurate Masterwork War axe
Masterwork Waraxe of Greater Accuracy,Masterwork War axe of Greater Accuracy
Masterwork Waraxe of the Master,Masterwork War axe of the Master
Masterwork Waraxe of Acid,Masterwork War axe of Acid
Masterwork Waraxe of Defence,Masterwork War axe of Defence
Masterwork Waraxe of Fire,Masterwork War axe of Fire
Masterwork Waraxe of Frost,Masterwork War axe of Frost
Masterwork Waraxe of the Grand-master,Masterwork War axe of the Grandmaster
Keen Masterwork Waraxe,Keen Masterwork War axe
Savage Masterwork Waraxe,Savage Masterwork War axe
Masterwork Waraxe of Lightning,Masterwork War axe of Lightning
Masterwork Warhammer of Celerity,Masterwork War hammer of Celerity
Masterwork Warhammer of Speed,Masterwork War hammer of Speed
Accurate Masterwork Warhammer,Accurate Masterwork War hammer
Masterwork Warhammer of Greater Accuracy,Masterwork War hammer of Greater Accuracy
Masterwork Warhammer of the Master,Masterwork War hammer of the Master
Masterwork Warhammer of Acid,Masterwork War hammer of Acid
Masterwork Warhammer of Defence,Masterwork War hammer of Defence
Masterwork Warhammer of Fire,Masterwork War hammer of Fire
Masterwork Warhammer of Frost,Masterwork War hammer of Frost
Masterwork Warhammer of the Grand-master,Masterwork War hammer of the Grandmaster
Keen Masterwork Warhammer,Keen Masterwork War hammer
Savage Masterwork Warhammer,Savage Masterwork War hammer
Masterwork Warhammer of Lightning,Masterwork War hammer of Lightning
Fine Composite Bow of Celerity,Fine Composite Bow of Celerity
Accurate Fine Composite Bow,Accurate Fine Composite Bow
Fine Composite Bow of Greater Accuracy,Fine Composite Bow of Greater Accuracy
