original,traducido
Blade Initiate,Iniciado en la cuchilla
Earth Magic Initiate,Iniciado en Magia de la Tierra
Earth Magic Expert,Experto en Magia de la Tierra
Earth Magic Master,Maestro de Magia de la Tierra
Earth Magic Grand Master,Gran Maestro de Magia de la Tierra
Fire Magic Initiate,Iniciado en Magia de Fuego
Fire Magic Expert,Experto en magia de fuego
Fire Magic Master,Maestro de magia de fuego
Fire Magic Grand Master,Gran Maestro de Magia de Fuego
Light Weapons Initiate,Iniciado en armas ligeras
Light Weapons Expert,Experto en armas ligeras
Touched by the Reticulum,Tocado por el Reticulo
Ranged Weapons Initiate,Iniciado en armas a distancia
#NPC Feats,Dotes de #NPC
Warrior,Guerrero
#Rogue Feats,Hazañas de picaro
Bardic Magic Initiate,Iniciado en Magia Bardica
Bardic Magic Expert,Experto en magia bardica
Bardic Magic Master,Maestro de magia bardica
Bardic Spellcasting,Lanzamiento de hechizos de bardo
Backstab Initiate,Iniciar puñalada por la espalda
Backstab Expert,Experto en puñaladas por la espalda
Backstab Master,Maestro de la puñalada por la espalda
Backstab Grand Master,Gran Maestro de la Puñalada por la Traicion
Bard Initiate,Iniciado bardo
Bard Expert,Bardo experto
Bard Master,Maestro bardo
Tradecraft,Oficios
Duelist Initiate,Duelista Iniciado
Duelist Expert,Duelista experto
Duelist Master,Maestro duelista
Duelist Grand-Master,Gran Maestro Duelista
Mobility Initiate,Movilidad Iniciada
Mobility Expert,Experto en movilidad
Mobility Master,Master en Movilidad
Rogue Blade Initiate,Iniciado de Rogue Blade
Rogue Blade Expert,Experto en cuchillas rebeldes
Rogue Ranged Initiate,Iniciado a distancia picaro
Rogue Ranged Expert,Picaro experto a distancia
Survivor Initiate,Sobreviviente Iniciado
Survivor Expert,Experto en supervivencia
Survivor Master,Maestro superviviente
Thievery Initiate,Iniciado en el robo
Thievery Expert,Experto en robos
Thievery Master,Maestro del robo
#Wanderer Feats,Hazañas del #Wanderer
Nature Spellcasting,Lanzamiento de hechizos de la naturaleza
You gain the ability to learn spells from the Nature School,Obtienes la capacidad de aprender hechizos de la Escuela de la Naturaleza
Nature Magic Initiate,Iniciado en Magia de la Naturaleza
You may now cast Tier 1 spells of the Nature School,Ahora puedes lanzar hechizos de nivel 1 de la Escuela de Naturaleza
Nature Magic Expert,Experto en magia de la naturaleza
You may now cast Tier 2 spells of the Nature School,Ahora puedes lanzar hechizos de nivel 2 de la Escuela de Naturaleza
Nature Magic Master,Maestro de magia de la naturaleza
You may now cast Tier 3 spells of the Nature School,Ahora puedes lanzar hechizos de nivel 3 de la Escuela de Naturaleza
Nature Magic Grand Master,Gran Maestro de Magia de la Naturaleza
You may now cast Tier 4 spells of the Nature School,Ahora puedes lanzar hechizos de nivel 4 de la Escuela de Naturaleza
#Warrior Feats,Hazañas del guerrero
Archery Initiate,Iniciado en tiro con arco
Archery Expert,Experto en tiro con arco
Archery Master,Maestro de tiro con arco
Arms Mastery,Maestria en armas
Axe Initiate,Iniciado con hacha
Axe Expert,Experto en hachas
Axe Master,Maestro del hacha
Bred for War,Criados para la guerra
Tough as Nails,Duro como una roca
Light Armor Mastery,Maestria en armadura ligera
Medium Armor Mastery,Maestria en armadura media
Heavy Armor Mastery,Maestria en armadura pesada
Calloused Hands,Manos callosas
Brutality,Brutalidad
Bloodthirsty,Sanguinario
Club Initiate,Iniciado en el garrote
Club Expert,Experto del garrote
Club Master,Maestro del garrote
Leadership Initiate,Liderazgo Inicial
Leadership Expert,Experto en liderazgo
Leadership Master,Maestro de liderazgo
Leadership Grand-Master,Gran Maestro del Liderazgo
Ranger Initiate,Ranger Iniciado
Ranger Expert,Experto en guardabosques
Ranger Master,Maestro de guardabosques
Shield Initiate,Iniciado con escudo
Shield Expert,Experto en escudos
Shield Master,Maestro del escudo
Sword Initiate,Iniciado con espada
Sword Expert,Experto en espadas
Sword Master,Maestro de la espada
Two-Handed Initiate,Iniciado en dos manos
Two-Handed Expert,Experto en dos manos
Two-Handed Master,Maestro en dos manos
